tag	category	total	roms	images
En,Es,Pt,Sv,Da	Language	3	0	3
En,Fr,De,Da	Language	3	0	3
En,Fr,De,Es,It,Da	Language	3	0	3
En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl	Language	3	0	3
En,Fr,De,Es,It,Sv,No	Language	3	0	3
En,Fr,De,Es,It,Sv,No,Da,Fi	Language	3	0	3
En,Fr,De,Es,Nl,Sv,Da	Language	3	0	3
En,Fr,Es,Nl	Language	3	0	3
En,Ja,Fr,De,Es+En,Ja,Fr,De,Es,It	NeedsReview	3	0	3
En,Ja,Fr,De,Es,It,Pt,Ko,Ru,Ar	Language	3	0	3
En,Ja,Zh	Language	3	1	2
En,Pt-BR	NeedsReview	3	2	1
En-US,En-GB,Fr,De,Es,It	NeedsReview	3	0	3
English Translated by Cabbage	TranslationCredit	3	3	0
English Translated by Exxistance	TranslationCredit	3	3	0
English Translated by Hilltop, Rev 1.1	TranslationCredit	3	3	0
English Translated by Lipemco! Translations	TranslationCredit	3	3	0
English Translated by Plissken, Rev 1.0.1	TranslationCredit	3	3	0
English Translated by Psyklax	TranslationCredit	3	3	0
English Translated by Shining Force III Translation Project, Rev 25.1	TranslationCredit	3	3	0
English Translated by Stardust Crusaders	TranslationCredit	3	3	0
English Translated, Rev 1	TranslationCredit	3	3	0
English Translated, Rev 1.1, by Zoinkity	TranslationCredit	3	3	0
Evolution Disc	NeedsReview	3	0	3
Extendo UnCut Edition	NeedsReview	3	3	0
Extract	NeedsReview	3	0	3
FR	Region	3	3	0
Final	NeedsReview	3	1	2
Firebird	NeedsReview	3	3	0
Fukkokuban	NeedsReview	3	0	3
Fukyuuban 1500	NeedsReview	3	0	3
GMod2	NeedsReview	3	3	0
GTROM	NeedsReview	3	3	0
Game no Kanzume Vol. 1	NeedsReview	3	0	3
GameCube Preview	Platform	3	0	3
GameVillage The Best	NeedsReview	3	0	3
Gentei Box	NeedsReview	3	0	3
Go! Go! Casino	NeedsReview	3	0	3
Gran Turismo	NeedsReview	3	0	3
Haplo - 2022	NeedsReview	3	3	0
Houkai-hen	NeedsReview	3	0	3
Hwang Shinwei	NeedsReview	3	2	1
Ice Team - 2013	NeedsReview	3	3	0
In	NeedsReview	3	0	3
JP - Disc 3	Disc+Region	3	3	0
JP, Rev 3	Region+Revision	3	3	0
Japan, Brazil	Region	3	0	3
Jou	NeedsReview	3	2	1
Kitmaker	NeedsReview	3	0	3
Kyouchou-hen	NeedsReview	3	0	3
Le Jeu	NeedsReview	3	0	3
MAX	NeedsReview	3	3	0
Making Disc	NeedsReview	3	0	3
NA - FastROM Hack by MaxwelOlinda	HackOrPatchCredit	3	3	0
NA - Flash Removal Patch by Privateye	HackOrPatchCredit	3	3	0
NA - Undub Patch by C&P-kyun	HackOrPatchCredit	3	3	0
NA, Rev 3	Region+Revision	3	3	0
NESDev 2016	NeedsReview	3	3	0
NESDev Compo 2011	NeedsReview	3	3	0
NESDev Compo 2017	NeedsReview	3	3	0
Not For Resale	NeedsReview	3	1	2
Omake CD	NeedsReview	3	0	3
PC Engine Mini	Platform	3	0	3
Part 1	NeedsReview	3	3	0
Part 2	NeedsReview	3	3	0
Players	NeedsReview	3	2	1
Pokemon Channel	NeedsReview	3	0	3
Premium CD-ROM	NeedsReview	3	0	3
Press Down, Circle, Down, Right, Circle to Set to English	NeedsReview	3	3	0
Prototype - Disc 3	Disc+Preview	3	3	0
RE125	NeedsReview	3	0	3
Reprint	NeedsReview	3	0	3
RetroZone	NeedsReview	3	2	1
Rev 7	Revision	3	0	3
Road Blaster	NeedsReview	3	0	3
SG Enhanced	NeedsReview	3	0	3
Second Dimension	NeedsReview	3	2	1
Sega	NeedsReview	3	2	1
Sega Reactor	NeedsReview	3	0	3
Sega Smash Pack	NeedsReview	3	0	3
Seiken Densetsu Collection	NeedsReview	3	0	3
Simulation Mode	NeedsReview	3	0	3
